Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ATTINY841,ATtiny841-SSU,SOIC-14_3.9x8.7mm_P1.27mm,15,49.5,0,top
C1,100nF,C_0805_2012Metric,8,55.75,180,top
C2,1uF,C_0805_2012Metric,14.75,55.75,0,top
C4,22pF,C_0805_2012Metric,3.25,53.75,180,top
C5,22pF,C_0805_2012Metric,3.25,51.25,180,top
D1,AZ432ANTR-E1,SOT-23,26.5,52.5,0,top
D2,SMBJ5.0A,D_SMB,25.5,9.25,180,top
D3,Red,LED_0805_2012Metric,5.5,2.5,90,top
D4,Blue,LED_0805_2012Metric,3.25,46.25,0,top
F1,mSMD150,Fuse_1812_4532Metric,25.5,4.5,180,top
Q1,AO3400A,SOT-23,5.55,7.825,0,top
R1,10KOHMS,R_0805_2012Metric,8,46.25,0,top
R2,1KOHMS,R_0805_2012Metric,21.75,53.75,0,top
R3,6.8K,R_0805_2012Metric,21.75,48.75,0,top
R4,2.7K,R_0805_2012Metric,26.5,48.75,0,top
R5,220 OHMS,R_0805_2012Metric,12.5,36.5,0,top
R6,3.3OHM 3/4W,R_2010_5025Metric,5.65,15.15,180,top
R8,3.3OHM 3/4W,R_2010_5025Metric,5.65,20.725,0,top
R12,3.3OHM 3/4W,R_2010_5025Metric,5.65,26.3,180,top
R14,510OHMS,R_0805_2012Metric,17.5,36.5,180,top
R15,10KOHMS,R_0805_2012Metric,2.45,7.8,270,top
R16,2.2KOHMS,R_0805_2012Metric,21.75,51.25,180,top
R17,2.2KOHMS,R_0805_2012Metric,2.5,2.5,270,top
R18,2.2KOHMS,R_0805_2012Metric,3.25,48.75,180,top
R19,CMFB103F3950FANT,R_0805_2012Metric,12.8,23.5,180,top
R20,10KOHMS,R_0805_2012Metric,26.5,46.25,0,top
R21,10KOHMS,R_0805_2012Metric,21.75,46.25,0,top
R22,3.3OHM 3/4W,R_2010_5025Metric,12.725,15.15,0,top
R24,3.3OHM 3/4W,R_2010_5025Metric,19.8,15.15,180,top
R25,3.3OHM 3/4W,R_2010_5025Metric,12.7,20.725,180,top
R26,3.3OHM 3/4W,R_2010_5025Metric,19.75,20.725,0,top
R29,3.3OHM 3/4W,R_2010_5025Metric,12.7,26.3,0,top
R30,3.3OHM 3/4W,R_2010_5025Metric,19.75,26.25,180,top
TH1,CMFB103F3950FANT,R_0805_2012Metric,37,29.5,180,top
U1,EL3H7(B)(TA)-G,SOP-4_4.4x2.6mm_P1.27mm,15,33.5,0,top
Y1,8MHZ Ceramic Resonator,Crystal_SMD_5032-2pin_5.0x3.2mm,8,51,90,top
